Tvs Organics Onion - Regular 1 kg  Rs. 66.90
Fresho Organically Grown - Watermelon Kiran 1 pc approx. 1.5 to 2.5 kg  Rs. 5.50
First Agro Red Radish - Premium 500 gm  Rs. 19.90
First Agro Cucumber - Indian 700 gm  Rs. 29.90
First Agro Cucumber - Indian 1 kg  Rs. 39.90
Adi Naturals Organic - Garlic 100 gm  Rs. 44.90
Fresho Organically Grown - Turmeric 250 gm  Rs. 24.90
Hampi Organic Coconut 1 pc  Rs. 12
Channahalli Certified Organic Papaya Local (Medium) - Grade A 1 pc  Rs. 54.90
Ambrosia Dill 100 gm  Rs. 17.90
First Agro Chilli - Hungarian Wax 250 gm  Rs. 29.90
Ambrosia Bitter Gourd 250 gm  Rs. 32.90
First Agro Tomato - Heirloom 500 gm (Approx 500 to 600gm)  Rs. 49.90
Gopalan Organic Cucumber 500 gm  Rs. 29
Gopalan Organic Radish 250 gm  Rs. 17.90
Fresho Organically Grown - Mango Neelam 1 kg  Rs. 27.90
Tvs Organics Potato 1 kg  Rs. 34.90
Fresho Organically Grown - Pomegranate 1 kg  Rs. 104.90
Fresho Organically Grown - Custard Apple 250 gm  Rs. 34.90
Farmerie Organic - Guava 400 gm approx. 3 nos  Rs. 69.90
Channahalli Certified Organic Organic - Potato 1 kg  Rs. 44.90
Hampi Organic Mango - Banganapalli 1 kg  Rs. 31
Safe Harvest Mango - Kesar 1 kg Box  Rs. 5.20
Ambrosia Mango - Alphonso 6 pcs  Rs. 59.90
Fresho Organically Grown - Sapota 500 gm  Rs. 14.90
Channahalli Certified Organic Oragnic Mango - Alphonso 1 kg  Rs. 91.90
Adi Naturals Organic - Mango Banganapalli 1.25 kg - 1.3 kg  Rs. 24.90
Hampi Organic Sapota 500 gm Loose  Rs. 69.90
Hampi Organic Sapota 1 kg  Rs. 7.50
Ambrosia Tomato - Regular 250 gm  Rs. 34.90
Ambrosia Tomato - Regular 500 gm  Rs. 29.90
Ambrosia Capsicum - Green 250 gm  Rs. 24.90
Fresho Organically Grown - Bitter gourd 500 gm  Rs. 39.90
Farmerie Organic Mango - Sindhura 1 kg  Rs. 17.90
Healthy Buddha Organic - Sweet Lime 500 gm  Rs. 34.90
Farmerie Organic - Sapota (Chikoo) 250 gm approx. 5 to 6 nos  Rs. 24.90
Fresho Organically Grown  Mango - Banganpalli 1 kg  Rs. 54.90
Gopalan Organic Beans - French Ring 500 gm  Rs. 5.50
Farmerie Organic - Kodaikanal Plums 250 gm  Rs. 9.90
Farmerie Organic - Banana Red 500 gm approx. 3 nos  Rs. 34.90
Ambrosia Brinjal Long Green 250 gm  Rs. 9.90
Ambrosia Papaya Local Medium - Grade A 1 pc  Rs. 30
Ambrosia Bottle Gourd 1 nos  Rs. 74.90
Hampi  Organic - Papaya 1 pc  Rs. 15
Ambrosia Yardlong Beans 250 gm  Rs. 19.90
Gopalan Organic Lettuce - Green 200 gm  Rs. 38
Farmerie Organic - Potato Regular 500 gm  Rs. 54.90
Channahalli Certified Organic Organic - Coconut Medium 1 pc  Rs. 39.90
Farmerie Organic - Sambhar Onion 500 gm  Rs. 129.90
Farmerie Organic - Papaya 1 pc approx. 900 gm  Rs. 184.90
Channahalli Certified Organic Radish White - Grade A 500 gm  Rs. 19.90
First Agro Birds Eye Chilly - Red 100 gm  Rs. 54.90
Hampi Organic Papaya Small 1 pc  Rs. 44.90
Ambrosia Bitter Gourd Small 250 gm  Rs. 24.90
SSR ORGANIC FARM Mango - Malgoa 1 kg  Rs. 69.90
Ambrosia Lettuce - Leafy 100 gm  Rs. 94.90
Farmerie Organic - Green Chilly 100 gm  Rs. 128
Fresho Organically Grown  Mango - Mallika 1 kg  Rs. 44.90
Ambrosia Pumpkin Green 1 pc  Rs. 42.90
Tvs Organics Organic - Amla 250 gm  Rs. 99.90
Gopalan Organic Lettuce - Ok Leaf Red 200 gm  Rs. 119.90
Ambrosia Capsicum - Orange 250 gm  Rs. 69.90
Adi Naturals Organic - Banana Yellaki 500 gm  Rs. 45.90
Aamrai Organic Mango Alphonso - Ratnagiri 12 nos Box  Rs. 109.90
Ambrosia Palak - Green 100 gm  Rs. 9
Ambrosia Brinjal - Bottle Black 250 gm  Rs. 14.90
Farmerie Organic - Ginger 100 gm  Rs. 10.90
Tvs Organics Chow Chow 500 gm  Rs. 7.50
Farmerie Organic - Garlic 250 gm  Rs. 14.90
Farmerie Organic - Tomato Local 500 gm  Rs. 39.90
Channahalli Certified Organic Beetroot - Grade A 500 gm  Rs. 74.90
Channahalli Certified Organic Organic Mango - Mallika 1 kg  Rs. 64.90
First Agro Chilly - Jalapenos 100 gm  Rs. 52.90
Adi Naturals Organic - Lettuce Romaine 200 gm  Rs. 44.90
First Agro Raddish - White 500 gm  Rs. 79.90
First Agro Chilly - Color Exotic 100 gm  Rs. 40
Farmerie Organic - Brinjal Voilet 250 gm  Rs. 14.90
Farmerie Organic - Bottle Gourd 1 pc approx. 800 gm  Rs. 69.90
First Agro Lettuce - Lolla Rossa 100 gm  Rs. 69.90
Ambrosia Tomato - Pear Yellow 250 gm  Rs. 7.90
Adi Naturals Organic - Tomato Cherry 200 gm  Rs. 15.90
Gopalan Organic Capsicum - Yellow 500 gm  Rs. 39.90
Gopalan Organic Chilly 250 gm  Rs. 23
Adi Naturals Organic - Lettuce Red 200 gm  Rs. 34.90
